; Zeus eventmsg.txt																	   
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"because [leader_name] is really pleased with you"
PHRASE_dionysus_invades_reason  	 	 		"because the city was attacked by Dionysus ,"
PHRASE_dionysus_invades_no_reason	  	 		"in an effort to thwart our cause,"
PHRASE_dionysus_invades_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_dionysus_invades_title 					"n/a"
PHRASE_CONDENSED_dionysus_invades_oracle_prediction		"Seers predict that Dionysus will attack within a year."
PHRASE_CONDENSED_dionysus_invades_city_attacked_alert  	"Let's see if your city operates when its people are under my spell!"
PHRASE_CONDENSED_dionysus_invades_reason  	 	 		"because your city was attacked by Dionysus,"
PHRASE_CONDENSED_dionysus_invades_no_reason  	 		""
PHRASE_CONDENSED_dionysus_invades_disembarked_alert  	    "n/a"


;*******************************************GOD UNLEASHES MONSTER****************************************
;********Zeus unleashes monster****************************************
PHRASE_zeus_unleashes_monster_title 					"Cyclops unleashed by Zeus!"
PHRASE_zeus_unleashes_monster_oracle_prediction		"I, the priestess from the Oracle, foresee great pain for you, [player_name]. Zeus is angry with you, and [reason_phrase] he vows to send his Cyclops to wreak havoc in the city within a year!"
PHRASE_zeus_unleashes_monster_city_attacked_alert  	"You'll see the horror my Cyclops can bring! He'll lumber through your city, foolish mortal, and enjoy feasting upon your city's residents! I'll do anything [reason_phrase]."
PHRASE_zeus_unleashes_monster_reason  	 	 		"in order to battle the Cyclops unleashed by Zeus,"
PHRASE_zeus_unleashes_monster_no_reason	  	 		"to thwart your cause"
PHRASE_zeus_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_zeus_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_zeus_unleashes_monster_oracle_prediction		"Seers predict that Zeus' Cyclops will attack within a year."
PHRASE_CONDENSED_zeus_unleashes_monster_city_attacked_alert  	"You'll see the horror my Cyclops can bring!"
PHRASE_CONDENSED_zeus_unleashes_monster_reason  	 	 		"to battle Zeus' Cyclops,"
PHRASE_CONDENSED_zeus_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_zeus_unleashes_monster_disembarked_alert  	    "n/a"

;********Poseidon unleashes monster****************************************
PHRASE_poseidon_unleashes_monster_title 					"A Kraken unleashed by Poseidon!"
PHRASE_poseidon_unleashes_monster_oracle_prediction		"You are horribly unfortunate, [player_name]! I, the seer from the Oracle, have seen that Poseidon is upset with you and, [reason_phrase] plans on sending his Kraken to your city within a year!"
PHRASE_poseidon_unleashes_monster_city_attacked_alert  	"Polly want a Kraken? You've got one now! I hope you enjoy watching him destroy some of your industries that depend on my ocean! My desire [reason_phrase] knows no bounds!"
PHRASE_poseidon_unleashes_monster_reason  	 	 		"in order to battle the Kraken unleashed by Poseidon,"
PHRASE_poseidon_unleashes_monster_no_reason	  	 		"to get in your way"
PHRASE_poseidon_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_poseidon_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_poseidon_unleashes_monster_oracle_prediction		"Seers predict that Poseidon's Kraken will attack within a year."
PHRASE_CONDENSED_poseidon_unleashes_monster_city_attacked_alert  	"Polly want a Kraken? You've got one now!"
PHRASE_CONDENSED_poseidon_unleashes_monster_reason  	 	 		"to battle the Kraken,"
PHRASE_CONDENSED_poseidon_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_poseidon_unleashes_monster_disembarked_alert  	    "n/a"

;********Hades unleashes monster****************************************
PHRASE_hades_unleashes_monster_title 					"Cerberus unleashed by Hades!"
PHRASE_hades_unleashes_monster_oracle_prediction		"I, the priestess from the Oracle, am howling in fear, [player_name]! Hades is sending his hound, Cerberus, to your city [reason_phrase]! All three of his heads are sure to do damage!"
PHRASE_hades_unleashes_monster_city_attacked_alert  	"My beloved Cerberus will avenge me! Watch as he turns some of your valuable buildings into chew toys, you churl!  I'll go to great lengths [reason_phrase]."
PHRASE_hades_unleashes_monster_reason  	 	 		"in order to battle Cerberus,"
PHRASE_hades_unleashes_monster_no_reason	  	 		"to punish you"
PHRASE_hades_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_hades_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_hades_unleashes_monster_oracle_prediction		"Seers predict that Cerberus will attack within a year."
PHRASE_CONDENSED_hades_unleashes_monster_city_attacked_alert  	"My beloved Cerberus will avenge me!"
PHRASE_CONDENSED_hades_unleashes_monster_reason  	 	 		"to battle Cerberus,"
PHRASE_CONDENSED_hades_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_hades_unleashes_monster_disembarked_alert  	    "n/a"

;********Demeter unleashes monster****************************************
PHRASE_demeter_unleashes_monster_title 					"Medusa unleashed by Demeter!"
PHRASE_demeter_unleashes_monster_oracle_prediction		"I, the priestess from the oracle, have unfortunate news for you, unlucky [player_name].  You have done something to put Demeter in a foul mood! The angry goddess has turned to Medusa for comfort, [reason_phrase] and she plans to send this horrible creature to your city within a year!"
PHRASE_demeter_unleashes_monster_city_attacked_alert  	"Medusa will show you what happens when you fool with mother nature! My serpent-haired friend will make it harder for you to feed your citizens, you villainous mortal! It's about time someone came along [reason_phrase]."
PHRASE_demeter_unleashes_monster_reason  	 	 		"in order to battle Medusa, unleashed by Demeter,"
PHRASE_demeter_unleashes_monster_no_reason	  	 		"to teach you a lesson"
PHRASE_demeter_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_demeter_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_demeter_unleashes_monster_oracle_prediction		"Seers predict that Demeter's Medusa will attack within a year."
PHRASE_CONDENSED_demeter_unleashes_monster_city_attacked_alert  	"Medusa will show you what happens when you fool with mother nature!"
PHRASE_CONDENSED_demeter_unleashes_monster_reason  	 	 		"to battle Medusa,"
PHRASE_CONDENSED_demeter_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_demeter_unleashes_monster_disembarked_alert  	    "n/a"

;********Athena unleashes monster****************************************
PHRASE_athena_unleashes_monster_title 					"Hydra unleashed by Athena!"
PHRASE_athena_unleashes_monster_oracle_prediction		"I, the priestess from the oracle, am not bullish on your future, [player_name]. The goddess Athena, for reasons not even I can discern, has decided to unleash Hydra on your city within a year!"
PHRASE_athena_unleashes_monster_city_attacked_alert  	"Let's see how you fare with Hydra in your city, unwise mortal! Watch as he leaves carnage in his wake! I'll do anything [reason_phrase]."
PHRASE_athena_unleashes_monster_reason  	 	 		"in order to battle Hydra, unleashed by Athena,"
PHRASE_athena_unleashes_monster_no_reason	  	 		"to make your life difficult."
PHRASE_athena_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_athena_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_athena_unleashes_monster_oracle_prediction		"Seers predict that Athena's Hydra will attack within a year."
PHRASE_CONDENSED_athena_unleashes_monster_city_attacked_alert  	"Let's see how you fare with Hydra in your city, unwise mortal!"
PHRASE_CONDENSED_athena_unleashes_monster_reason  	 	 		"to battle Hydra,"
PHRASE_CONDENSED_athena_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_athena_unleashes_monster_disembarked_alert  	    "n/a"

;********Apollo unleashes monster****************************************
PHRASE_apollo_unleashes_monster_title 					"Scylla unleashed by Apollo!"
PHRASE_apollo_unleashes_monster_oracle_prediction		"I, the seer from the oracle, predict that you will endure some difficult times, [player_name].  Within a year, an enraged Apollo will send Scylla to strike your city!"
PHRASE_apollo_unleashes_monster_city_attacked_alert  	"Go forth, my slithering Scylla, and do your worst! Make my anger known to these scoundrel mortals!"
PHRASE_apollo_unleashes_monster_reason  	 	 		"in order to battle the Scylla unleashed by Apollo,"
PHRASE_apollo_unleashes_monster_no_reason	  	 		"in an effort to thwart our cause,"
PHRASE_apollo_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_apollo_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_apollo_unleashes_monster_oracle_prediction		"Seers predict that Scylla will attack within a year."
PHRASE_CONDENSED_apollo_unleashes_monster_city_attacked_alert  	"Go forth, my slithering Scylla, and do your worst!"
PHRASE_CONDENSED_apollo_unleashes_monster_reason  	 	 		"to battle Scylla,"
PHRASE_CONDENSED_apollo_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_apollo_unleashes_monster_disembarked_alert  	    "n/a"

;********Artemis unleashes monster****************************************
PHRASE_artemis_unleashes_monster_title 					"Artemis unleashes Calydonian Boar!"
PHRASE_artemis_unleashes_monster_oracle_prediction		"Oh great [player_name], a cruel fate awaits you.  I, the all-knowing priestess from the Oracle, prophesy that [reason_phrase] Artemis will send the Calydonian Boar to attack your city within a year."
PHRASE_artemis_unleashes_monster_city_attacked_alert  	"You have offended me, you insufferable beast! Meet the Calydonian Boar! He will turn the tables on you, and you'll know how it feels to be hunted!  I'll go to great lengths to [reason_phrase]."
PHRASE_artemis_unleashes_monster_reason  	 	 		"in order to battle the Calydonian Boar unleashed by Artemis,"
PHRASE_artemis_unleashes_monster_no_reason	  	 		"to avenge a slight"
PHRASE_artemis_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_artemis_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_artemis_unleashes_monster_oracle_prediction		"Seers predict that Artemis's Boar will attack within a year."
PHRASE_CONDENSED_artemis_unleashes_monster_city_attacked_alert  	"You have offended me, you insufferable beast! Meet the Calydonian Boar!"
PHRASE_CONDENSED_artemis_unleashes_monster_reason  	 	 		"to battle the Calydonian Boar,"
PHRASE_CONDENSED_artemis_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_artemis_unleashes_monster_disembarked_alert  	    "n/a"

;********Ares unleashes monster****************************************
PHRASE_ares_unleashes_monster_title 					"Ares unleashes his Dragon!"
PHRASE_ares_unleashes_monster_oracle_prediction		"I, the priestess from the Oracle, have seen the future, and it holds unspeakable horror for you, [player_name]! The war-like Ares will unleash his Dragon on your city within a year [reason_phrase]!"
PHRASE_ares_unleashes_monster_city_attacked_alert  	"You annoy me. Meet my Dragon, and know the true meaning of terror! At my command, he will make war on some of your military buildings! I can't wait [reason_phrase]!"
PHRASE_ares_unleashes_monster_reason  	 	 		"in order to battle the dragon unleashed by Ares,"
PHRASE_ares_unleashes_monster_no_reason	  	 		"to teach you a lesson"
PHRASE_ares_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_ares_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_ares_unleashes_monster_oracle_prediction		"Seers predict that Ares's dragon will attack within a year."
PHRASE_CONDENSED_ares_unleashes_monster_city_attacked_alert  	"You annoy me. Meet my Dragon, and know the true meaning of terror!"
PHRASE_CONDENSED_ares_unleashes_monster_reason  	 	 		"to battle the dragon,"
PHRASE_CONDENSED_ares_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_ares_unleashes_monster_disembarked_alert  	    "n/a"

;********Hephaestus unleashes monster****************************************
PHRASE_hephaestus_unleashes_monster_title 					"Talos unleashed by Hephaestus!"
PHRASE_hephaestus_unleashes_monster_oracle_prediction		"I, the seer from the Oracle, foretell that a fearsome sight will soon be seen in your city, [player_name]. Hephaestus is planning to send Talos, his brutish man of bronze, to attack your city within a year [reason_phrase]!"
PHRASE_hephaestus_unleashes_monster_city_attacked_alert  	"You have summoned forth my fiery anger! Talos will avenge me! The ferocious man of bronze, the greatest product of my forge, will teach you not to thwart me! I'll stop at nothing [reason_phrase]."
PHRASE_hephaestus_unleashes_monster_reason  	 	 		"in order to battle Talos, unleashed by Hephaestus,"
PHRASE_hephaestus_unleashes_monster_no_reason	  	 		"to prevent you from succeeding in your goals"
PHRASE_hephaestus_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_hephaestus_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_hephaestus_unleashes_monster_oracle_prediction		"Seers predict that Talos will attack within a year."
PHRASE_CONDENSED_hephaestus_unleashes_monster_city_attacked_alert  	"You have summoned forth my fiery anger! Talos will make you pay!"
PHRASE_CONDENSED_hephaestus_unleashes_monster_reason  	 	 		"to battle Talos,"
PHRASE_CONDENSED_hephaestus_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_hephaestus_unleashes_monster_disembarked_alert  	    "n/a"

;********Aphrodite unleashes monster****************************************
PHRASE_aphrodite_unleashes_monster_title 					"Aphrodite unleashes Hector!"
PHRASE_aphrodite_unleashes_monster_oracle_prediction		"I, the seer from the Oracle, have a prophecy for you, [player_name]. Aphrodite is quite perturbed with you and will send Hector, her beloved Trojan, to your city within a year!"
PHRASE_aphrodite_unleashes_monster_city_attacked_alert  	"Hector, my beloved, do what you will to this city! I am most unpleased with them and bid you to leave them blemished! With your help, Hector, I'll show this city [reason_phrase]!"
PHRASE_aphrodite_unleashes_monster_reason  	 	 		"in order to battle Hector, unleashed by Aphrodite,"
PHRASE_aphrodite_unleashes_monster_no_reason	  	 		"to interfere with the gods"
PHRASE_aphrodite_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_aphrodite_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_aphrodite_unleashes_monster_oracle_prediction		"Seers predict that Hector will attack within a year."
PHRASE_CONDENSED_aphrodite_unleashes_monster_city_attacked_alert  	"Hector, my beloved, do what you will to this city!"
PHRASE_CONDENSED_aphrodite_unleashes_monster_reason  	 	 		"to battle Hector,"
PHRASE_CONDENSED_aphrodite_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_aphrodite_unleashes_monster_disembarked_alert  	    "n/a"

;********Hermes unleashes monster****************************************
PHRASE_hermes_unleashes_monster_title 					"Minotaur unleashed by Hermes!"
PHRASE_hermes_unleashes_monster_oracle_prediction		"I, the priestess from the Oracle, have a most alarming message for you, [player_name]. Hermes has grown resentful of you and intends on punishing your city by sending Minotaur. Expect the man-bull within a year!"
PHRASE_hermes_unleashes_monster_city_attacked_alert  	"You have angered me for the last time! Minotaur, go destroy some buildings! Let the pernicious mortal know that I am not to be regarded lightly, and that no one is [reason_phrase]!"
PHRASE_hermes_unleashes_monster_reason  	 	 		"in order to battle Minotaur, unleashed by Hermes,"
PHRASE_hermes_unleashes_monster_no_reason	  	 		"to interfere with my plans"
PHRASE_hermes_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_hermes_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_hermes_unleashes_monster_oracle_prediction		"Seers predict that Minotaur will attack within a year."
PHRASE_CONDENSED_hermes_unleashes_monster_city_attacked_alert  	"You have angered me for the last time! Minotaur, go destroy some buildings!"
PHRASE_CONDENSED_hermes_unleashes_monster_reason  	 	 		"to battle Minotaur,"
PHRASE_CONDENSED_hermes_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_hermes_unleashes_monster_disembarked_alert  	    "n/a"

;********Dionysus unleashes monster****************************************
PHRASE_dionysus_unleashes_monster_title 					"Dionysus unleashes Maenad!"
PHRASE_dionysus_unleashes_monster_oracle_prediction		"Prepare for the worst, [player_name]! I, the priestess from the Oracle, have foreseen that the Maenad, the madwoman who follows Dionysus, will be in your city within a year. Dionysus is sending her with special orders to make your life miserable!"
PHRASE_dionysus_unleashes_monster_city_attacked_alert  	"My Maenad will teach you that life isn't always a party! She is whipped into a frenzy, ready to tear something apart! She'll show you [reason_phrase]!"
PHRASE_dionysus_unleashes_monster_reason  	 	 		"in order to battle the Maenad unleashed by Dionysus,"
PHRASE_dionysus_unleashes_monster_no_reason	  	 		"to interfere with me"
PHRASE_dionysus_unleashes_monster_disembarked_alert  	    "n/a"

PHRASE_CONDENSED_dionysus_unleashes_monster_title 					"n/a"
PHRASE_CONDENSED_dionysus_unleashes_monster_oracle_prediction		"Seers predict that Dionysus' Maenad will be here within a year."
PHRASE_CONDENSED_dionysus_unleashes_monster_city_attacked_alert  	"My maenads will teach you that life isn't always a party!"
PHRASE_CONDENSED_dionysus_unleashes_monster_reason  	 	 		"to battle the Maenad,"
PHRASE_CONDENSED_dionysus_unleashes_monster_no_reason  	 		""
PHRASE_CONDENSED_dionysus_unleashes_monster_disembarked_alert  	    "n/a"


;**********************ASSISTANCE & PRAYER *****************************
;******************Help from Zeus***************************
PHRASE_zeus_help_title						"Support from Zeus"
PHRASE_zeus_help_initial_announcement       "Because you are dear to me, I will help you vanquish this mighty army!  Its soldiers will run away, frightened, when they see that you have the greatest of the Olympians on your side!" 
PHRASE_zeus_help_reason						"because Zeus helped you,"
PHRASE_zeus_help_no_reason                  "" 

PHRASE_CONDENSED_zeus_help_title						"n/a"
PHRASE_CONDENSED_zeus_help_initial_announcement       "Because you are dear to me, I will help you vanquish this mighty army!" 
PHRASE_CONDENSED_zeus_help_reason						"because Zeus helped your city,"
PHRASE_CONDENSED_zeus_help_no_reason                  "" 

;******************Help from Poseidon***************************
PHRASE_poseidon_help_title						"Food from Poseidon"
PHRASE_poseidon_help_initial_announcement       "I've noticed that you're running low on food! Please allow me to give you some seafood to help you feed your people. You are, after all, one of my favorite mortals!" 
PHRASE_poseidon_help_reason						"because Poseidon helped you,"
PHRASE_poseidon_help_no_reason                  "" 

PHRASE_CONDENSED_poseidon_help_title						"n/a"
PHRASE_CONDENSED_poseidon_help_initial_announcement       "I've noticed that you're running low on food!" 
PHRASE_CONDENSED_poseidon_help_reason						"because Poseidon helped your city,"
PHRASE_CONDENSED_poseidon_help_no_reason                  "" 

;******************Help from Hades***************************
PHRASE_hades_help_title						"Silver from Hades"
PHRASE_hades_help_initial_announcement       "Greetings, friend. Your treasury looks like it could use a little boost! I will order my minions to mint some drachmas for you!" 
PHRASE_hades_help_reason						"because Hades helped you,"
PHRASE_hades_help_no_reason                  "" 

PHRASE_CONDENSED_hades_help_title						"n/a"
PHRASE_CONDENSED_hades_help_initial_announcement       "Greetings, friend. Your treasury looks like it could use a little boost!"
PHRASE_CONDENSED_hades_help_reason						"because Hades helped your city,"
PHRASE_CONDENSED_hades_help_no_reason                  "" 

;******************Help from Demeter***************************
PHRASE_demeter_help_title						"Food from Demeter"
PHRASE_demeter_help_initial_announcement       "I will provide for you when you cannot provide for yourself. The food I will harvest will fill your citizens' bellies." 
PHRASE_demeter_help_reason						"because Demeter helped you,"
PHRASE_demeter_help_no_reason                  "" 

PHRASE_CONDENSED_demeter_help_title						"n/a"
PHRASE_CONDENSED_demeter_help_initial_announcement       "I will provide for you when you cannot provide for yourself." 
PHRASE_CONDENSED_demeter_help_reason						"because Demeter helped your city,"
PHRASE_CONDENSED_demeter_help_no_reason                  "" 

;******************Help from Athena***************************
PHRASE_athena_help_title						"Olives and oil from Athena"
PHRASE_athena_help_initial_announcement       "I extol my sacred olive tree to bear fruit! May this city never want for olive oil! Enjoy its fine flavor with my compliments!" 
PHRASE_athena_help_reason						"because Athena helped you,"
PHRASE_athena_help_no_reason                  "" 

PHRASE_CONDENSED_athena_help_title						"n/a"
PHRASE_CONDENSED_athena_help_initial_announcement       "I extol my sacred olive tree to bear fruit!" 
PHRASE_CONDENSED_athena_help_reason						"because Athena helped your city,"
PHRASE_CONDENSED_athena_help_no_reason                  "" 

;******************Help from Apollo***************************
PHRASE_apollo_help_title						"Healing hand from Apollo"
PHRASE_apollo_help_initial_announcement       "Your people's illnesses rend my heart. I shall go forth and heal them! I will make their bodies whole again." 
PHRASE_apollo_help_reason						"because Apollo helped you,"
PHRASE_apollo_help_no_reason                  "" 

PHRASE_CONDENSED_apollo_help_title						"n/a"
PHRASE_CONDENSED_apollo_help_initial_announcement       "Your people's illnesses rend my heart. I shall go forth and heal them!" 
PHRASE_CONDENSED_apollo_help_reason						"because Apollo helped your city,"
PHRASE_CONDENSED_apollo_help_no_reason                  "" 
									 
;******************Help from Artemis***************************
PHRASE_artemis_help_title						"Food from Artemis"
PHRASE_artemis_help_initial_announcement       "Though your Granaries may not be full now, you'll soon have enough food! After I return from the hunt, your citizens will have plenty to eat!" 
PHRASE_artemis_help_reason						"because Artemis helped you,"
PHRASE_artemis_help_no_reason                  "" 

PHRASE_CONDENSED_artemis_help_title						"n/a"
PHRASE_CONDENSED_artemis_help_initial_announcement       "Though your Granaries may not be full now, you'll soon have enough food!" 
PHRASE_CONDENSED_artemis_help_reason						"because Artemis helped your city,"
PHRASE_CONDENSED_artemis_help_no_reason                  "" 

;******************Help from Ares***************************
PHRASE_ares_help_title						"Ares fights alongside you"
PHRASE_ares_help_initial_announcement       "I, too, will respond to your call to arms and go to battle with your men! With me along, you are sure to win the upcoming fight!" 
PHRASE_ares_help_reason						"because Ares helped your city,"
PHRASE_ares_help_no_reason                  "" 

PHRASE_CONDENSED_ares_help_title						"n/a"
PHRASE_CONDENSED_ares_help_initial_announcement       "I, too, will respond to your call to arms and go to battle with your men!" 
PHRASE_CONDENSED_ares_help_reason						"because Ares helped your city,"
PHRASE_CONDENSED_ares_help_no_reason                  "" 

;******************Help from Hephaestus***************************
PHRASE_hephaestus_help_title						"Hephaestus loans you Talos"
PHRASE_hephaestus_help_initial_announcement       "I will summon forth Talos to help you through your troubles. My man of bronze will help you turn back the marauders!"  
PHRASE_hephaestus_help_reason						"because Hephaestus helped you,"
PHRASE_hephaestus_help_no_reason                  "" 

PHRASE_CONDENSED_hephaestus_help_title						"n/a"
PHRASE_CONDENSED_hephaestus_help_initial_announcement       "I will summon forth Talos to help you through your troubles." 
PHRASE_CONDENSED_hephaestus_help_reason						"because Hephaestus helped your city,"
PHRASE_CONDENSED_hephaestus_help_no_reason                  "" 

;******************Help from Aphrodite***************************
PHRASE_aphrodite_help_title						"Aphrodite blesses households"
PHRASE_aphrodite_help_initial_announcement       "Heavens! There aren't nearly enough people in this city to adore me! I'll have to do something about that! I know! I'll fill your houses with people!" 
PHRASE_aphrodite_help_reason						"because Aphrodite helped you,"
PHRASE_aphrodite_help_no_reason                  "" 

PHRASE_CONDENSED_aphrodite_help_title						"n/a"
PHRASE_CONDENSED_aphrodite_help_initial_announcement       "Heavens! There aren't nearly enough people in this city to adore me!" 
PHRASE_CONDENSED_aphrodite_help_reason						"because Aphrodite helped you,"
PHRASE_CONDENSED_aphrodite_help_no_reason                  "" 

;******************Help from Hermes***************************
PHRASE_hermes_help_title						"Hermes shares your burden"
PHRASE_hermes_help_initial_announcement       "Please let me fulfill an outstanding request! I wouldn't dream of letting you touch the goods stored in your Granaries and Storehouses!" 
PHRASE_hermes_help_reason						"because Hermes helped you,"
PHRASE_hermes_help_no_reason                  "" 

PHRASE_CONDENSED_hermes_help_title						"n/a"
PHRASE_CONDENSED_hermes_help_initial_announcement       "Please let me fulfill an outstanding request!" 
PHRASE_CONDENSED_hermes_help_reason						"because Hermes helped you,"
PHRASE_CONDENSED_hermes_help_no_reason                  "" 

;******************Help from Dionysus***************************
PHRASE_dionysus_help_title						"Wine from Dionysus"
PHRASE_dionysus_help_initial_announcement       "Man alive! You can't have a city without wine! My vintners will make some for you. Drink up!" 
PHRASE_dionysus_help_reason						"because Dionysus helped you,"
PHRASE_dionysus_help_no_reason                  "" 

PHRASE_CONDENSED_dionysus_help_title						"n/a"
PHRASE_CONDENSED_dionysus_help_initial_announcement       "Man alive! You can't have a city without wine!" 
PHRASE_CONDENSED_dionysus_help_reason						"because Dionysus helped you,"
PHRASE_CONDENSED_dionysus_help_no_reason                  "" 

;******************MONSTER IN CITY EVENTS *****************
;*******hydra*******************
PHRASE_hydra_in_city_title						"Hydra in city"
PHRASE_hydra_in_city_initial_announcement       "Hydra is in the city, and all of its many heads are looking for trouble!"
PHRASE_hydra_in_city_initial_reason             "to battle the hydra,"

PHRASE_CONDENSED_hydra_in_city_title						"n/a"
PHRASE_CONDENSED_hydra_in_city_initial_reason             "to battle the hydra,"
PHRASE_CONDENSED_hydra_in_city_initial_announcement       "Hydra is in the city!" 

PHRASE_hydra_slain_title						"Hydra slain"
PHRASE_hydra_slain_initial_announcement       "Hydra has been slain, and your people are rejoicing!"
PHRASE_CONDENSED_hydra_slain_title						"n/a"
PHRASE_CONDENSED_hydra_slain_initial_announcement       "The hydra has been slain!"

;*******kraken*******************
PHRASE_kraken_in_city_title						"Kraken in city"
PHRASE_kraken_in_city_initial_announcement       "A fierce Kraken is making trouble in our city's waters! If we don't do something, he could feast on our trade partners!" 
PHRASE_kraken_in_city_initial_reason             "to battle the Kraken,"

PHRASE_CONDENSED_kraken_in_city_title						"n/a"
PHRASE_CONDENSED_kraken_in_city_initial_announcement       "The Kraken is in the city!"
PHRASE_CONDENSED_kraken_in_city_initial_reason             "to battle the Kraken,"

PHRASE_kraken_slain_title						"Kraken slain"
PHRASE_kraken_slain_initial_announcement       "The Kraken, that misshapen creature of the deep, has been killed! The city's waters are once again safe!"
PHRASE_CONDENSED_kraken_slain_title						"n/a"
PHRASE_CONDENSED_kraken_slain_initial_announcement       "The Kraken has been slain!"

;*******cerberus*******************
PHRASE_cerberus_in_city_title						"Cerberus in city"
PHRASE_cerberus_in_city_initial_announcement       "Cerberus has left his home in the Underworld and is even now in our city! The three-headed hound is bound to cause some trouble!" 
PHRASE_cerberus_in_city_initial_reason             "in order to battle Cerberus,"

PHRASE_CONDENSED_cerberus_in_city_title						"n/a"
PHRASE_CONDENSED_cerberus_in_city_initial_announcement       "Cerberus is in the city!" 
PHRASE_CONDENSED_cerberus_in_city_initial_reason             "to battle Cerberus,"

PHRASE_cerberus_slain_title						"Cerberus slain"
PHRASE_cerberus_slain_initial_announcement       "Cerberus has been slain! The city's residents no longer need to worry about his deadly bites."
PHRASE_CONDENSED_cerberus_slain_title						"n/a"
PHRASE_CONDENSED_cerberus_slain_initial_announcement       "Cerberus is dead!"

;*******cyclops*******************
PHRASE_cyclops_in_city_title						"Cyclops in city"
PHRASE_cyclops_in_city_initial_announcement       "Cyclops is keeping a close eye on our city and attacking everything that crosses his path!  How will we overcome this monster?" 
PHRASE_cyclops_in_city_initial_reason             "to battle Cyclops,"

PHRASE_CONDENSED_cyclops_in_city_title						"n/a"
PHRASE_CONDENSED_cyclops_in_city_initial_announcement       "Cyclops has come to the city!" 
PHRASE_CONDENSED_cyclops_in_city_initial_reason             "to battle Cyclops,"

PHRASE_cyclops_slain_title						"Cyclops slain"
PHRASE_cyclops_slain_initial_announcement       "Cyclops has collapsed! Victory is sweet!" 
PHRASE_CONDENSED_cyclops_slain_title						"n/a"
PHRASE_CONDENSED_cyclops_slain_initial_announcement       "The Cyclops has been slain!"

;*******minotaur*******************
PHRASE_minotaur_in_city_title						"Minotaur in city"
PHRASE_minotaur_in_city_initial_announcement       "The Minotaur, that unnatural offspring of Pasiphae, has charged into our city, slaying anyone who comes near him!" 
PHRASE_minotaur_in_city_initial_reason             "so that the hero may battle the Minotaur,"

PHRASE_CONDENSED_minotaur_in_city_title						"n/a"
PHRASE_CONDENSED_minotaur_in_city_initial_announcement       "The Minotaur has charged into our city!" 
PHRASE_CONDENSED_minotaur_in_city_initial_reason             "to battle the Minotaur,"

PHRASE_minotaur_slain_title						"Minotaur slain"
PHRASE_minotaur_slain_initial_announcement       "The Minotaur has been vanquished!  Hooray!"
PHRASE_CONDENSED_minotaur_slain_title						"n/a"
PHRASE_CONDENSED_minotaur_slain_initial_announcement       "The Minotaur has been slain!"

;*******medusa*******************
PHRASE_medusa_in_city_title						"Medusa in city"
PHRASE_medusa_in_city_initial_announcement       "Medusa, the hideous gorgon, is in our city! All who lay eyes on her are instantly turned to stone!" 
PHRASE_medusa_in_city_initial_reason             "so that the hero may battle Medusa,"

PHRASE_CONDENSED_medusa_in_city_title						"n/a"
